Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV031,CH007-CH008,,,6/7/2018 19:20,6/7/2018 19:30,239.76,290.18,35.513,51,99.5
EV031,CH007-CH008,,,6/7/2018 18:11,6/7/2018 18:21,277.963,325.98,42.985,39.5,98.5
EV031,CH007-CH008,,,6/7/2018 17:07,6/7/2018 17:14,227.03,326.24,34.681,38.5,96.5
EV031,CH007-CH008,,,6/7/2018 16:08,6/7/2018 16:18,233.436,289.76,39.177,28,80
EV031,CH007-CH008,,,6/7/2018 15:15,6/7/2018 15:22,277.185,332.68,30.399,38.5,80
EV031,CH007-CH008,,,6/7/2018 14:08,6/7/2018 14:17,215.143,319.9,37.985,34.5,85
EV031,CH007-CH008,,,6/7/2018 13:13,6/7/2018 13:18,274.283,348.82,28.601,41,80
EV031,CH007-CH008,,,6/7/2018 12:12,6/7/2018 12:16,207.202,244.44,13.645,62.5,82.5
EV031,CH007-CH008,,,6/7/2018 11:10,6/7/2018 11:22,218.208,333.96,33.475,55.5,100
EV031,CH007-CH008,,,6/7/2018 10:05,6/7/2018 10:11,311.145,359.56,30.766,51.5,91.5
EV031,CH007-CH008,,,6/7/2018 9:03,6/7/2018 9:10,212.634,254.48,29.762,49,88.5
EV031,CH007-CH008,,,6/7/2018 8:12,6/7/2018 8:16,241.324,272.6,18.16,56.5,81
EV031,CH007-CH008,,,6/7/2018 7:08,6/7/2018 7:13,222.673,356.88,23.66,57,88.5
EV031,CH007-CH008,,,6/7/2018 6:11,6/7/2018 6:17,246.154,300.72,22.055,59,89.5
EV031,CH007-CH008,,,6/6/2018 18:33,6/6/2018 18:39,82.492,197.74,19.151,74,100
EV031,CH007-CH008,,,6/6/2018 17:31,6/6/2018 17:41,296.992,379.28,33.32,55.5,98.5
EV031,CH007-CH008,,,6/6/2018 16:21,6/6/2018 16:28,321.988,371.62,25.332,63.5,100
EV031,CH007-CH008,,,6/6/2018 15:22,6/6/2018 15:30,256.896,348.94,30.466,57,98
EV031,CH007-CH008,,,6/6/2018 14:23,6/6/2018 14:30,317.191,370.2,31.654,53,94
EV031,CH007-CH008,,,6/6/2018 13:24,6/6/2018 13:30,281.385,371.72,27.164,53.5,88.5
EV031,CH007-CH008,,,6/6/2018 12:26,6/6/2018 12:31,267.75,373.26,22.49,61,92
EV031,CH007-CH008,,,6/6/2018 11:24,6/6/2018 11:30,269.144,322.94,21.71,71.5,100
EV031,CH007-CH008,,,6/6/2018 10:26,6/6/2018 10:32,336.952,371.58,22.911,67,100
EV031,CH007-CH008,,,6/6/2018 9:23,6/6/2018 9:29,312.675,367.02,21.393,71.5,100
EV031,CH007-CH008,,,6/6/2018 8:23,6/6/2018 8:29,283.267,331.5,23.844,66,100
EV031,CH007-CH008,,,6/6/2018 7:21,6/6/2018 7:30,260.056,347.6,39.983,46.5,99
EV031,CH007-CH008,,,6/6/2018 6:25,6/6/2018 6:30,269.993,344.06,25.976,46.5,81
EV031,CH007-CH008,,,6/4/2018 19:14,6/4/2018 19:18,298.137,348.76,18.552,63.5,89.5
EV031,CH007-CH008,,,6/4/2018 18:12,6/4/2018 18:26,222.792,297.94,46.377,37.5,100
EV031,CH007-CH008,,,6/4/2018 17:17,6/4/2018 17:23,250.429,327.64,28.036,40,84.5
EV031,CH007-CH008,,,6/4/2018 16:20,6/4/2018 16:25,150.2,273.28,29.896,46,86
EV031,CH007-CH008,,,6/4/2018 15:04,6/4/2018 15:06,61.027,233.98,1.926,96.5,99
EV031,CH007-CH008,,,6/4/2018 14:48,6/4/2018 14:54,242.424,342.08,14.974,79.5,99.5
EV031,CH007-CH008,,,6/4/2018 12:21,6/4/2018 12:30,324.348,356.3,42.102,43,98.5
EV031,CH007-CH008,,,6/4/2018 10:27,6/4/2018 10:31,181.213,337.3,23.04,55,85
EV031,CH007-CH008,,,6/4/2018 9:34,6/4/2018 9:40,277.234,339.68,31.436,51.5,92.5
EV031,CH007-CH008,,,6/4/2018 8:24,6/4/2018 8:33,256.93,323.38,37.127,39.5,88.5
EV031,CH007-CH008,,,6/4/2018 7:37,6/4/2018 7:44,265.416,330.48,33.17,31.5,76
EV031,CH007-CH008,,,6/3/2018 18:08,6/3/2018 18:12,270.883,359.56,13.206,82,100
EV031,CH007-CH008,,,5/31/2018 19:20,5/31/2018 19:25,269.434,349.84,21.181,71.5,100
EV031,CH007-CH008,,,5/31/2018 18:14,5/31/2018 18:20,304.761,360.46,25.94,58.5,93.5
