Vehicle ID,Charger ID,Date,Number of Charging Sessions,Connection Time,Charging Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC,SOC Charged
EV096,CH018-CH024,06/24/19,,,6.312310278,36.61039141,,231.09615,,,67
EV096,CH018-CH024,06/25/19,,,6.634653611,26.63685647,,176.726316,,,48.5
EV096,CH018-CH024,06/26/19,,,11.235405,18.94021095,,212.8009408,,,60
EV096,CH018-CH024,06/27/19,,,11.47480333,24.15753239,,277.2029332,,,77.5
EV096,CH018-CH024,06/28/19,,,7.331339444,31.63167055,,231.902514,,,63
EV096,CH018-CH024,06/29/19,,,5.700553889,31.82900987,,181.442986,,,51.5
EV096,CH018-CH024,07/01/19,,,6.586839444,26.23622337,,172.813791,,,50
EV096,CH018-CH024,07/02/19,,,10.78961861,31.43377658,,339.1584608,,,99
EV096,CH018-CH024,07/03/19,,,12.17962806,21.62626864,,263.3999083,,,70.5
EV096,CH018-CH024,07/05/19,,,6.332094167,16.69121103,,105.69032,,,28.5
EV096,CH018-CH024,07/06/19,,,3.8722975,34.99886566,,135.52602,,,38
EV096,CH018-CH024,07/08/19,,,3.059362778,27.33877153,,83.63922,,,23
EV096,CH018-CH024,07/10/19,,,0.896825,9.175602821,,8.22891,,,1.5
EV096,CH018-CH024,07/11/19,,,4.510248611,32.06195544,,144.60739,,,42.5
EV096,CH018-CH024,07/12/19,,,10.91081528,31.82037741,,347.18626,,,97
EV096,CH018-CH024,07/13/19,,,1.312964167,0.922736531,,1.21152,,,
EV096,CH018-CH024,07/14/19,,,3.619593889,35.69598799,,129.20498,,,37.5
EV096,CH018-CH024,07/15/19,,,7.831046944,33.86966057,,265.2349019,,,78
EV096,CH018-CH024,07/16/19,,,5.476469722,29.60747093,,162.1444181,,,50.5
EV096,CH018-CH024,07/17/19,,,6.453726111,25.1605022,,162.37899,,,44.5
EV096,CH018-CH024,07/18/19,,,3.550265556,13.49377089,,47.90647,,,11
EV096,CH018-CH024,07/19/19,,,3.949606667,35.46321237,,140.06574,,,41.5
