Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge E/Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV030,CH007-CH008,,,7/26/2018 16:48,7/26/2018 16:56,234.959,306.22,27.298,60.5,99.5
EV030,CH007-CH008,,,7/26/2018 15:49,7/26/2018 15:58,314.854,365.28,33.325,55,99
EV030,CH007-CH008,,,7/26/2018 14:45,7/26/2018 14:54,298.067,344.14,36.606,49.5,98.5
EV030,CH007-CH008,,,7/26/2018 13:46,7/26/2018 13:52,188.966,260.6,29.954,48.5,89
EV030,CH007-CH008,,,7/26/2018 12:47,7/26/2018 12:52,248.025,294.68,20.878,57.5,87
EV030,CH007-CH008,,,7/26/2018 11:48,7/26/2018 11:54,214.583,366.58,21.937,67.5,99
EV030,CH007-CH008,,,7/26/2018 10:51,7/26/2018 11:01,257.366,303.96,29.221,58.5,100
EV030,CH007-CH008,,,7/26/2018 9:48,7/26/2018 9:54,293.294,372.54,23.82,65,100
EV030,CH007-CH008,,,7/26/2018 8:49,7/26/2018 8:56,254.206,352.7,25.455,63,100
EV030,CH007-CH008,,,7/26/2018 7:46,7/26/2018 7:53,218.583,315.58,22.004,67.5,100
EV030,CH007-CH008,,,7/26/2018 6:49,7/26/2018 6:56,262.717,362.6,30.025,54.5,94
EV030,CH007-CH008,,,7/26/2018 6:00,7/26/2018 6:02,121.125,247.08,6.77,85,94
EV030,CH007-CH008,,,7/24/2018 17:51,7/24/2018 18:00,205.078,301.7,31.153,56,98.5
EV030,CH007-CH008,,,7/24/2018 17:51,7/24/2018 18:00,224.17,301.7,31.122,56,98.5
EV030,CH007-CH008,,,7/24/2018 16:47,7/24/2018 16:56,253.74,365.44,36.293,50,99.5
EV030,CH007-CH008,,,7/24/2018 15:45,7/24/2018 15:53,264.33,294.6,35.055,45,92.5
EV030,CH007-CH008,,,7/24/2018 14:45,7/24/2018 14:52,227.129,306.62,28.98,45,85
EV030,CH007-CH008,,,7/24/2018 13:49,7/24/2018 13:54,333.089,360.22,29.816,45,86
EV030,CH007-CH008,,,7/24/2018 12:48,7/24/2018 12:52,240.88,302.76,18.4,56.5,83
EV030,CH007-CH008,,,7/24/2018 11:46,7/24/2018 11:52,165.505,273.6,27.672,56.5,93.5
EV030,CH007-CH008,,,7/24/2018 10:49,7/24/2018 10:55,279.563,334.18,24.972,59,94
EV030,CH007-CH008,,,7/24/2018 9:46,7/24/2018 9:52,243.82,326.58,21.128,71.5,100
EV030,CH007-CH008,,,7/24/2018 8:48,7/24/2018 8:57,246.42,272.54,29.68,58,100
EV030,CH007-CH008,,,7/24/2018 7:44,7/24/2018 7:50,237.503,370.4,19.031,74.5,100
EV030,CH007-CH008,,,7/24/2018 6:47,7/24/2018 6:56,200.726,276.36,30.467,57.5,99
EV030,CH007-CH008,,,7/24/2018 5:53,7/24/2018 5:56,127.567,296.8,6.94,89.5,100
EV030,CH007-CH008,,,7/21/2018 19:03,7/21/2018 19:10,188.413,272.44,23.944,64.5,100
EV030,CH007-CH008,,,7/21/2018 18:09,7/21/2018 18:16,250.893,358.66,26.977,61.5,100
EV030,CH007-CH008,,,7/21/2018 17:05,7/21/2018 17:12,296.771,374.26,26.221,62.5,100
EV030,CH007-CH008,,,7/21/2018 16:05,7/21/2018 16:12,215.302,285.82,22.636,66.5,100
EV030,CH007-CH008,,,7/21/2018 15:03,7/21/2018 15:10,264.452,301.02,26.586,62,100
EV030,CH007-CH008,,,7/21/2018 14:06,7/21/2018 14:11,343.037,373.4,18.404,75,100
EV030,CH007-CH008,,,7/21/2018 13:01,7/21/2018 13:10,263.09,322.18,28.796,59.5,100
EV030,CH007-CH008,,,7/21/2018 12:01,7/21/2018 12:09,255.486,341.68,32.735,53.5,96.5
EV030,CH007-CH008,,,7/21/2018 11:07,7/21/2018 11:12,283.26,345.2,25.892,58,93.5
EV030,CH007-CH008,,,7/21/2018 10:01,7/21/2018 10:09,259.793,356.96,27.489,61.5,100
EV030,CH007-CH008,,,7/21/2018 8:56,7/21/2018 9:05,298.087,362.98,35.492,52.5,100
EV030,CH007-CH008,,,7/20/2018 18:36,7/20/2018 18:43,279.971,333.26,30.839,55,96
EV030,CH007-CH008,,,7/20/2018 17:32,7/20/2018 17:39,321.566,353.36,26.431,61.5,99.5
EV030,CH007-CH008,,,7/20/2018 16:22,7/20/2018 16:32,324.423,350.8,34.028,54.5,99
EV030,CH007-CH008,,,7/20/2018 15:27,7/20/2018 15:34,293.76,331.08,31.29,52.5,94
EV030,CH007-CH008,,,7/20/2018 14:26,7/20/2018 14:32,293.902,354.12,26.177,56,91
EV030,CH007-CH008,,,7/20/2018 13:21,7/20/2018 13:29,313.339,354.4,34.217,54,100
EV030,CH007-CH008,,,7/20/2018 12:27,7/20/2018 12:33,319.137,376.86,28.922,54,92
EV030,CH007-CH008,,,7/20/2018 11:27,7/20/2018 11:33,321.067,360.98,26.712,55,89.5
EV030,CH007-CH008,,,7/20/2018 10:28,7/20/2018 10:34,319.165,367.88,24.296,65,100
EV030,CH007-CH008,,,7/20/2018 9:25,7/20/2018 9:34,317.598,356.38,32.027,56.5,100
EV030,CH007-CH008,,,7/20/2018 8:26,7/20/2018 8:33,246.64,283.78,27.574,57,95
EV030,CH007-CH008,,,7/20/2018 7:26,7/20/2018 7:34,216.119,289.98,27.446,61,100
EV030,CH007-CH008,,,7/20/2018 6:26,7/20/2018 6:34,295.324,362.94,27.922,60.5,100
EV030,CH007-CH008,,,7/19/2018 19:21,7/19/2018 19:32,245.969,277.5,33.313,54.5,100
EV030,CH007-CH008,,,7/19/2018 18:14,7/19/2018 18:23,295.609,361.64,36.256,49.5,99.5
EV030,CH007-CH008,,,7/19/2018 17:12,7/19/2018 17:17,287.571,350.32,26.332,53.5,88.5
EV030,CH007-CH008,,,7/19/2018 16:08,7/19/2018 16:17,318.954,352.08,36.155,50,98.5
EV030,CH007-CH008,,,7/19/2018 15:20,7/19/2018 15:26,292.052,361.02,29.201,53,91.5
EV030,CH007-CH008,,,7/19/2018 14:07,7/19/2018 14:16,320.578,367.1,33.708,54.5,100
EV030,CH007-CH008,,,7/19/2018 13:05,7/19/2018 13:12,251.192,370.88,25.374,63,99
EV030,CH007-CH008,,,7/19/2018 12:03,7/19/2018 12:12,212.391,368.34,32.116,56,99
EV030,CH007-CH008,,,7/19/2018 11:05,7/19/2018 11:12,300.176,368.52,26.52,61.5,100
EV030,CH007-CH008,,,7/19/2018 10:05,7/19/2018 10:14,251.582,348.68,30.672,57,100
EV030,CH007-CH008,,,7/19/2018 9:10,7/19/2018 9:19,288.3,364.6,34.886,52.5,99
EV030,CH007-CH008,,,7/19/2018 8:12,7/19/2018 8:16,335.132,372.22,20.481,59.5,88
EV030,CH007-CH008,,,7/19/2018 7:08,7/19/2018 7:15,279.68,372.12,31.039,54,95
EV030,CH007-CH008,,,7/19/2018 6:15,7/19/2018 6:20,214.38,344.94,22.998,55.5,85.5
EV030,CH007-CH008,,,7/18/2018 18:33,7/18/2018 18:41,248.838,365.14,30.826,56.5,100
EV030,CH007-CH008,,,7/18/2018 17:36,7/18/2018 17:45,313.579,348.52,34.221,53.5,99.5
EV030,CH007-CH008,,,7/18/2018 16:22,7/18/2018 16:32,310.481,351,32.13,56,100
EV030,CH007-CH008,,,7/18/2018 15:22,7/18/2018 15:29,287.014,352.84,26.187,62,99.5
EV030,CH007-CH008,,,7/18/2018 14:24,7/18/2018 14:34,210.844,276.78,33.332,55,100
EV030,CH007-CH008,,,7/18/2018 13:35,7/18/2018 13:42,211.482,339.76,22.843,66,99.5
EV030,CH007-CH008,,,7/18/2018 12:44,7/18/2018 12:54,316.893,366.8,33.264,55.5,100
EV030,CH007-CH008,,,7/18/2018 11:23,7/18/2018 11:30,180.766,277.6,26.296,62.5,100
EV030,CH007-CH008,,,7/18/2018 10:25,7/18/2018 10:32,296.305,359.54,28.71,59.5,100
EV030,CH007-CH008,,,7/18/2018 9:26,7/18/2018 9:33,265.788,348.48,25.637,63,100
EV030,CH007-CH008,,,7/18/2018 8:25,7/18/2018 8:32,257.836,328.54,22.802,66.5,100
EV030,CH007-CH008,,,7/18/2018 7:23,7/18/2018 7:28,326.302,362.04,17.952,76,100
EV030,CH007-CH008,,,7/18/2018 6:26,7/18/2018 6:32,133.812,337.94,26.978,62,100
EV030,CH007-CH008,,,7/17/2018 8:09,7/17/2018 8:18,243.513,372.08,30.848,57,99
EV030,CH007-CH008,,,7/17/2018 7:11,7/17/2018 7:23,130.693,366.52,30.812,54,93
EV030,CH007-CH008,,,7/17/2018 6:24,7/17/2018 6:29,204.629,348.68,23.669,59.5,92
EV030,CH007-CH008,,,7/15/2018 18:38,7/15/2018 18:47,307.242,360.64,32.432,55.5,100
EV030,CH007-CH008,,,7/15/2018 17:39,7/15/2018 17:46,241.087,337.88,26.496,61.5,100
EV030,CH007-CH008,,,7/15/2018 16:40,7/15/2018 16:49,322.051,372.78,33.367,55,100
EV030,CH007-CH008,,,7/15/2018 15:36,7/15/2018 15:42,137.945,276.42,22.657,66,100
EV030,CH007-CH008,,,7/15/2018 14:37,7/15/2018 14:47,264.203,328.04,32.645,55.5,100
EV030,CH007-CH008,,,7/15/2018 13:37,7/15/2018 13:43,283.585,350.76,21.625,71,100
EV030,CH007-CH008,,,7/15/2018 12:31,7/15/2018 12:42,201.424,281.14,32.515,55.5,100
EV030,CH007-CH008,,,7/15/2018 11:30,7/15/2018 11:36,337.274,375.98,21.248,71.5,100
EV030,CH007-CH008,,,7/15/2018 10:29,7/15/2018 10:36,240.934,303.34,25.511,63.5,100
EV030,CH007-CH008,,,7/15/2018 9:31,7/15/2018 9:40,297.087,361.08,39.138,47,100
EV030,CH007-CH008,,,7/15/2018 8:24,7/15/2018 8:26,213.802,346.06,6.635,56.5,65
EV030,CH007-CH008,,,7/14/2018 19:03,7/14/2018 19:14,0.206,336.06,29.579,59,99
EV030,CH007-CH008,,,7/14/2018 18:11,7/14/2018 18:18,237.224,339.8,24.734,64,100
